2000/01;2002/03;2004/05;2006/07;2008/09;2010/11;2012/13;2014/15;2016/17;2017/18;IBGE_LEGEND;POINT_ID;STRATUM;BIOME;geometry
Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;2Sd - Savana Florestada;11;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-58.27264716860142,-8.653795094790626],[-58.27053759977389,-8.653795080004906],[-58.27053759977389,-8.651695811232123],[-58.2726471686014,-8.651695859892783],[-58.27264716860142,-8.653795094790626]]]}"
Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;2Sd - Savana Florestada;12;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-58.12278186143619,-8.755214458245401],[-58.12071724977337,-8.755214455594544],[-58.12071724977337,-8.753160459889967],[-58.12278186143619,-8.753160424619415],[-58.12278186143619,-8.755214458245401]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;1Asp - Floresta Ombrófila Aberta Submontana com palmeiras;13;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-61.12987243219531,-8.829776274440714],[-61.12776295754453,-8.829776291112138],[-61.12776295754453,-8.827678070260063],[-61.12987243219531,-8.827678018391833],[-61.12987243219531,-8.829776274440714]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;1Dse - Floresta Ombrófila Densa Submontana com dossel emergente;14;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-58.67219821164092,-8.838035211556091],[-58.67008869040099,-8.838035204944594],[-58.67008869040099,-8.83598162889974],[-58.672198211640904,-8.835981597615405],[-58.67219821164092,-8.838035211556091]]]}"
Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;2Sd - Savana Florestada;15;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-58.174846465157025,-8.86080198365762],[-58.17273691740436,-8.860802004267484],[-58.17273691740436,-8.858748575762595],[-58.17484646515703,-8.85874859004203],[-58.174846465157025,-8.86080198365762]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;1Dse - Floresta Ombrófila Densa Submontana com dossel emergente;16;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-60.67825675744,-8.87941612863947],[-60.67619218372618,-8.87941617594652],[-60.67619218372619,-8.877362847986523],[-60.67825675744,-8.877362841470568],[-60.67825675744,-8.87941612863947]]]}"
Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;Floresta Sazonal;2Fse - Floresta Estacional Semidecidual Submontana com dossel emergente;17;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-57.523455305591355,-8.922890116532797],[-57.52139069191552,-8.922890129928094],[-57.52139069191552,-8.920837032910907],[-57.52345530559136,-8.920837053982217],[-57.523455305591355,-8.922890116532797]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;1Dse - Floresta Ombrófila Densa Submontana com dossel emergente;18;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-58.4620097665964,-8.927040796160695],[-58.45994510478398,-8.927040862730996],[-58.45994510478398,-8.924943158988782],[-58.4620097665964,-8.924943128029703],[-58.4620097665964,-8.927040796160695]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;1Asc - Floresta Ombrófila Aberta Submontana com cipós;19;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-59.86874178450246,-8.933244529446394],[-59.86667712068418,-8.933244549954868],[-59.86667712068418,-8.931146877734601],[-59.86874178450246,-8.931146895737333],[-59.86874178450246,-8.933244529446394]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;1Asp - Floresta Ombrófila Aberta Submontana com palmeiras;20;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-61.131937046236956,-9.003575214421964],[-61.12987243219531,-9.003575251425387],[-61.12987243219531,-9.001522601458664],[-61.131937046236956,-9.001522606343334],[-61.131937046236956,-9.003575214421964]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;2Asp - Floresta Ombrófila Aberta Submontana com palmeiras;21;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-59.379738390408946,-9.018076988513034],[-59.37762882668432,-9.018076986439612],[-59.37762882668432,-9.015979841015378],[-59.37973839040893,-9.015979879955221],[-59.379738390408946,-9.018076988513034]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;1Dse - Floresta Ombrófila Densa Submontana com dossel emergente;22;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-58.64095942708612,-9.026331602017493],[-58.63889479177874,-9.026331618500315],[-58.63889479177874,-9.024279104365275],[-58.64095942708612,-9.0242791248471],[-58.64095942708612,-9.026331602017493]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;2Asp - Floresta Ombrófila Aberta Submontana com palmeiras;23;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-59.35684784128529,-9.028428662244213],[-59.354738397407665,-9.028428643900558],[-59.354738397407665,-9.026331590686722],[-59.35684784128529,-9.026331571442809],[-59.35684784128529,-9.028428662244213]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;1Asc - Floresta Ombrófila Aberta Submontana com cipós;24;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-59.85626423712795,-9.032533565017893],[-59.854199590273446,-9.032533558417532],[-59.854199590273446,-9.030481138027866],[-59.85626423712795,-9.0304811093114],[-59.85626423712795,-9.032533565017893]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;1Dse - Floresta Ombrófila Densa Submontana com dossel emergente;25;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-58.59311386684169,-9.03253354151643],[-58.59104920884019,-9.032533587290832],[-58.591049208840204,-9.030481153556448],[-58.59311386684169,-9.030481144661099],[-58.59311386684169,-9.03253354151643]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;1Asp - Floresta Ombrófila Aberta Submontana com palmeiras;26;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-59.39428052152817,-9.05118345185241],[-59.39221592715098,-9.05118340214802],[-59.39221592715098,-9.049086478258273],[-59.39428052152817,-9.04908649124152],[-59.39428052152817,-9.05118345185241]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;1Dse - Floresta Ombrófila Densa Submontana com dossel emergente;27;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-60.08516903109814,-9.063586415928452],[-60.083104412562086,-9.063586369511489],[-60.083104412562086,-9.061489494534323],[-60.08516903109815,-9.061489505205847],[-60.08516903109814,-9.063586415928452]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;1Dse - Floresta Ombrófila Densa Submontana com dossel emergente;28;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-58.30595058890189,-9.065638669251582],[-58.303841004222626,-9.065638617090515],[-58.303841004222626,-9.06358638344469],[-58.30595058890189,-9.063586397344308],[-58.30595058890189,-9.065638669251582]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;1Dse - Floresta Ombrófila Densa Submontana com dossel emergente;29;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-58.58476554541987,-9.067690898804953],[-58.58270094888078,-9.067690902787167],[-58.58270094888078,-9.065638600453983],[-58.58476554541987,-9.065638633394478],[-58.58476554541987,-9.067690898804953]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;1Asp - Floresta Ombrófila Aberta Submontana com palmeiras;30;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-61.16313098369593,-9.092539809890761],[-61.161066315090764,-9.092539792114756],[-61.161066315090764,-9.090443123025974],[-61.16313098369593,-9.090443106564162],[-61.16313098369593,-9.092539809890761]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;1Dse - Floresta Ombrófila Densa Submontana com dossel emergente;31;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-59.188266261331044,-9.109089935547528],[-59.18620164996795,-9.109089944296507],[-59.18620164996795,-9.10699330249521],[-59.188266261331044,-9.10699333118148],[-59.188266261331044,-9.109089935547528]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;1Dse - Floresta Ombrófila Densa Submontana com dossel emergente;32;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-58.25388594759057,-9.109089893397755],[-58.25182133799016,-9.109089921737851],[-58.25182133799016,-9.106993343198475],[-58.253885947590554,-9.106993350362622],[-58.25388594759057,-9.109089893397755]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;1Asp - Floresta Ombrófila Aberta Submontana com palmeiras;33;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-59.92080639643601,-9.11114189976003],[-59.918696856148856,-9.111141927231778],[-59.918696856148856,-9.109089897355476],[-59.92080639643601,-9.109089908811226],[-59.92080639643601,-9.11114189976003]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;2Dse - Floresta Ombrófila Densa Submontana com dossel emergente;34;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-57.67332057538886,-9.111141923284045],[-57.67121107013933,-9.111141871236041],[-57.67121107013933,-9.109089939301771],[-57.67332057538886,-9.10908995221022],[-57.67332057538886,-9.111141923284045]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;1Asp - Floresta Ombrófila Aberta Submontana com palmeiras;35;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-58.33714442536153,-9.1504395502618],[-58.33507976695059,-9.15043954234745],[-58.33507976695059,-9.148387752946938],[-58.33714442536153,-9.148387797421702],[-58.33714442536153,-9.1504395502618]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;1Asp - Floresta Ombrófila Aberta Submontana com palmeiras;36;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-60.39939690249479,-9.164935241316597],[-60.397332318926345,-9.164935256786915],[-60.397332318926345,-9.162839024501512],[-60.39939690249479,-9.162838973791343],[-60.39939690249479,-9.164935241316597]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;1Dse - Floresta Ombrófila Densa Submontana com dossel emergente;37;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-59.09670436983805,-9.191784283572844],[-59.09463971923916,-9.191784281355725],[-59.09463971923916,-9.18973271176842],[-59.09670436983805,-9.189732752165174],[-59.09670436983805,-9.191784283572844]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;1Dse - Floresta Ombrófila Densa Submontana com dossel emergente;38;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-58.50572606560583,-9.204226880135856],[-58.50361652118178,-9.204226872426664],[-58.50361652118178,-9.20213081718178],[-58.50572606560583,-9.202130786191265],[-58.50572606560583,-9.204226880135856]]]}"
Floresta;Floresta;Em Conversao;Outros Usos;Outros Usos;Outras Coberturas;Outras Coberturas;Outras Coberturas;Outras Coberturas;Outras Coberturas;1Dse - Floresta Ombrófila Densa Submontana com dossel emergente;39;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-57.70244987743486,-9.206278277395057],[-57.700340311841536,-9.206278314886038],[-57.70034031184155,-9.204226890638534],[-57.70244987743486,-9.204226887666387],[-57.70244987743486,-9.206278277395057]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;3Ap - Pecuária (pastagens);40;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-61.37749350240868,-9.214528461030032],[-61.37542890986696,-9.21452849725414],[-61.37542890986696,-9.212477090056696],[-61.37749350240868,-9.212477096551632],[-61.37749350240868,-9.214528461030032]]]}"
Floresta;Floresta;Outros Usos;Pastagem;Pastagem;Pastagem;Pastagem;Pastagem;Pastagem;Pastagem;1Dse - Floresta Ombrófila Densa Submontana com dossel emergente;41;2;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-59.03220706404491,-9.222823012230037],[-59.0301424552015,-9.222823048874329],[-59.03014245520151,-9.220727117804481],[-59.03220706404491,-9.220727118476454],[-59.03220706404491,-9.222823012230037]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;1Asp - Floresta Ombrófila Aberta Submontana com palmeiras;42;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-58.31842813261678,-9.253814462119855],[-58.31631857541109,-9.253814431990241],[-58.31631857541109,-9.251763321149536],[-58.31842813261678,-9.251763313170247],[-58.31842813261678,-9.253814462119855]]]}"
Floresta;Floresta;Outros Usos;Outros Usos;Outros Usos;Outras Coberturas;Outras Coberturas;Outras Coberturas;Outras Coberturas;Outras Coberturas;1Asp - Floresta Ombrófila Aberta Submontana com palmeiras;43;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-60.61793362896872,-9.255910183482063],[-60.61582410362,-9.25591017561839],[-60.61582410362,-9.253814467050626],[-60.61793362896872,-9.253814439274032],[-60.61793362896872,-9.255910183482063]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;1Ds - Floresta Ombrófila Densa Submontana;44;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-59.308957402841116,-9.272452573884149],[-59.30689280470083,-9.27245255514004],[-59.30689280470083,-9.270356976876341],[-59.308957402841116,-9.27035695893035],[-59.308957402841116,-9.272452573884149]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;1Asp - Floresta Ombrófila Aberta Submontana com palmeiras;45;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-60.28705399937523,-9.311687421653415],[-60.28494447879906,-9.311687456659456],[-60.28494447879906,-9.309636618522005],[-60.28705399937523,-9.309636623524154],[-60.28705399937523,-9.311687421653415]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;1Asp - Floresta Ombrófila Aberta Submontana com palmeiras;46;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-60.921748652899396,-9.319979690109994],[-60.91968400598799,-9.319979710443912],[-60.91968400598799,-9.31792894127685],[-60.921748652899396,-9.317928962956033],[-60.921748652899396,-9.319979690109994]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;1Asp - Floresta Ombrófila Aberta Submontana com palmeiras;47;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-61.429513309917326,-9.34066487346105],[-61.42744868080477,-9.340664851092129],[-61.42744868080477,-9.338569689861112],[-61.429513309917326,-9.338569678510117],[-61.429513309917326,-9.34066487346105]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;1Dse - Floresta Ombrófila Densa Submontana com dossel emergente;48;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-57.91470289463658,-9.365449777426416],[-57.91263830191346,-9.36544977572531],[-57.91263830191346,-9.363399324259301],[-57.91470289463658,-9.36339928817548],[-57.91470289463658,-9.365449777426416]]]}"
Floresta;Outros Usos;Pastagem;Pastagem;Pastagem;Pastagem;Pastagem;Pastagem;Pastagem;Pastagem;1Asp - Floresta Ombrófila Aberta Submontana com palmeiras;49;2;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-59.31937031115835,-9.367500293830982],[-59.317305716868304,-9.367500280236401],[-59.317305716868304,-9.365449769185298],[-59.31937031115835,-9.365449821711502],[-59.31937031115835,-9.367500293830982]]]}"
Pastagem;Pastagem;Pastagem;Pastagem;Pastagem;Pastagem;Pastagem;Pastagem;Pastagem;Pastagem;3Ap - Pecuária (pastagens);50;2;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-57.952180471230804,-9.37369619582284],[-57.950070941312475,-9.373696178328082],[-57.950070941312475,-9.371645761263142],[-57.952180471230804,-9.37164574020948],[-57.952180471230804,-9.37369619582284]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;1Asp - Floresta Ombrófila Aberta Submontana com palmeiras;51;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-58.66595938569531,-9.377841581517592],[-58.663849889770034,-9.377841597123417],[-58.66384988977003,-9.375791160174742],[-58.66595938569531,-9.37579118140132],[-58.66595938569531,-9.377841581517592]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;1Dse - Floresta Ombrófila Densa Submontana com dossel emergente;52;2;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-57.93759340627581,-9.37784160443043],[-57.93552872480369,-9.37784159257709],[-57.93552872480369,-9.37579117229902],[-57.937593406275795,-9.375791146405522],[-57.93759340627581,-9.37784160443043]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;1Dse - Floresta Ombrófila Densa Submontana com dossel emergente;53;2;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-57.41735118913625,-9.388182583425559],[-57.41524166062317,-9.388182574328905],[-57.41524166062317,-9.386132240223924],[-57.41735118913624,-9.386132210011278],[-57.41735118913625,-9.388182583425559]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;1Dse - Floresta Ombrófila Densa Submontana com dossel emergente;54;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-57.488087265966705,-9.398523240122287],[-57.4860226618218,-9.398523297052034],[-57.4860226618218,-9.396428429244084],[-57.488087265966705,-9.396428406725006],[-57.488087265966705,-9.398523240122287]]]}"
Pastagem;Pastagem;Pastagem;Pastagem;Pastagem;Pastagem;Pastagem;Pastagem;Pastagem;Pastagem;1Asp - Floresta Ombrófila Aberta Submontana com palmeiras;55;2;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-59.344370294983904,-9.410913881155098],[-59.34226079709509,-9.410913842254136],[-59.34226079709509,-9.408863666297954],[-59.344370294983904,-9.40886366865043],[-59.344370294983904,-9.410913881155098]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;1Dse - Floresta Ombrófila Densa Submontana com dossel emergente;56;2;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-56.90747706968219,-9.419159142784023],[-56.90541241322767,-9.419159127504038],[-56.90541241322767,-9.417108956571028],[-56.90747706968219,-9.417109005912168],[-56.90747706968219,-9.419159142784023]]]}"
Pastagem;Pastagem;Pastagem;Pastagem;Pastagem;Pastagem;Pastagem;Pastagem;Pastagem;Pastagem;3Ap - Pecuária (pastagens);57;2;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-57.918877103368395,-9.435693656516385],[-57.91676752668141,-9.43569368224869],[-57.91676752668141,-9.433643617369716],[-57.918877103368395,-9.433643627017661],[-57.918877103368395,-9.435693656516385]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Em Conversao;1Dse - Floresta Ombrófila Densa Submontana com dossel emergente;58;1;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-57.74199198997593,-9.435693708139631],[-57.73988250578738,-9.435693706817604],[-57.73988250578738,-9.433643634908748],[-57.74199198997593,-9.433643597425126],[-57.74199198997593,-9.435693708139631]]]}"
Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;Floresta;1Dse - Floresta Ombrófila Densa Submontana com dossel emergente;59;2;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-56.539164798221314,-9.439838305823585],[-56.53710017235579,-9.439838316793796],[-56.53710017235579,-9.437788282986471],[-56.539164798221314,-9.437788305336225],[-56.539164798221314,-9.439838305823585]]]}"
Floresta;Floresta;Outros Usos;Pastagem;Pastagem;Pastagem;Pastagem;Pastagem;Agua;Agua;1Dse - Floresta Ombrófila Densa Submontana com dossel emergente;60;2;AMAZONIA;"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-56.695223936934866,-9.441888356184878],[-56.69315930156465,-9.441888345435293],[-56.69315930156465,-9.439838328279514],[-56.695223936934866,-9.439838299564384],[-56.695223936934866,-9.441888356184878]]]}"
